electrode,shank,shank_column,shank_row,x_um,y_um
614,0,0,307,8,4605
615,0,1,307,40,4605
616,0,0,308,8,4620
617,0,1,308,40,4620
618,0,0,309,8,4635
619,0,1,309,40,4635
620,0,0,310,8,4650
621,0,1,310,40,4650
622,0,0,311,8,4665
623,0,1,311,40,4665
624,0,0,312,8,4680
625,0,1,312,40,4680
626,0,0,313,8,4695
627,0,1,313,40,4695
628,0,0,314,8,4710
629,0,1,314,40,4710
630,0,0,315,8,4725
631,0,1,315,40,4725
632,0,0,316,8,4740
633,0,1,316,40,4740
634,0,0,317,8,4755
635,0,1,317,40,4755
636,0,0,318,8,4770
637,0,1,318,40,4770
638,0,0,319,8,4785
639,0,1,319,40,4785
640,0,0,320,8,4800
641,0,1,320,40,4800
642,0,0,321,8,4815
643,0,1,321,40,4815
644,0,0,322,8,4830
645,0,1,322,40,4830
646,0,0,323,8,4845
647,0,1,323,40,4845
648,0,0,324,8,4860
649,0,1,324,40,4860
650,0,0,325,8,4875
651,0,1,325,40,4875
652,0,0,326,8,4890
653,0,1,326,40,4890
654,0,0,327,8,4905
655,0,1,327,40,4905
656,0,0,328,8,4920
657,0,1,328,40,4920
658,0,0,329,8,4935
659,0,1,329,40,4935
660,0,0,330,8,4950
661,0,1,330,40,4950
662,0,0,331,8,4965
663,0,1,331,40,4965
664,0,0,332,8,4980
665,0,1,332,40,4980
666,0,0,333,8,4995
667,0,1,333,40,4995
668,0,0,334,8,5010
669,0,1,334,40,5010
670,0,0,335,8,5025
671,0,1,335,40,5025
672,0,0,336,8,5040
673,0,1,336,40,5040
674,0,0,337,8,5055
675,0,1,337,40,5055
676,0,0,338,8,5070
677,0,1,338,40,5070
678,0,0,339,8,5085
679,0,1,339,40,5085
680,0,0,340,8,5100
681,0,1,340,40,5100
682,0,0,341,8,5115
683,0,1,341,40,5115
684,0,0,342,8,5130
685,0,1,342,40,5130
686,0,0,343,8,5145
687,0,1,343,40,5145
688,0,0,344,8,5160
689,0,1,344,40,5160
690,0,0,345,8,5175
691,0,1,345,40,5175
692,0,0,346,8,5190
693,0,1,346,40,5190
694,0,0,347,8,5205
695,0,1,347,40,5205
696,0,0,348,8,5220
697,0,1,348,40,5220
698,0,0,349,8,5235
699,0,1,349,40,5235
700,0,0,350,8,5250
701,0,1,350,40,5250
702,0,0,351,8,5265
703,0,1,351,40,5265
704,0,0,352,8,5280
705,0,1,352,40,5280
706,0,0,353,8,5295
707,0,1,353,40,5295
708,0,0,354,8,5310
709,0,1,354,40,5310
710,0,0,355,8,5325
711,0,1,355,40,5325
712,0,0,356,8,5340
713,0,1,356,40,5340
714,0,0,357,8,5355
715,0,1,357,40,5355
716,0,0,358,8,5370
717,0,1,358,40,5370
718,0,0,359,8,5385
719,0,1,359,40,5385
720,0,0,360,8,5400
721,0,1,360,40,5400
722,0,0,361,8,5415
723,0,1,361,40,5415
724,0,0,362,8,5430
725,0,1,362,40,5430
726,0,0,363,8,5445
727,0,1,363,40,5445
728,0,0,364,8,5460
729,0,1,364,40,5460
730,0,0,365,8,5475
731,0,1,365,40,5475
732,0,0,366,8,5490
733,0,1,366,40,5490
734,0,0,367,8,5505
735,0,1,367,40,5505
736,0,0,368,8,5520
737,0,1,368,40,5520
738,0,0,369,8,5535
739,0,1,369,40,5535
740,0,0,370,8,5550
741,0,1,370,40,5550
742,0,0,371,8,5565
743,0,1,371,40,5565
744,0,0,372,8,5580
745,0,1,372,40,5580
746,0,0,373,8,5595
747,0,1,373,40,5595
748,0,0,374,8,5610
749,0,1,374,40,5610
750,0,0,375,8,5625
751,0,1,375,40,5625
752,0,0,376,8,5640
753,0,1,376,40,5640
754,0,0,377,8,5655
755,0,1,377,40,5655
756,0,0,378,8,5670
757,0,1,378,40,5670
758,0,0,379,8,5685
759,0,1,379,40,5685
760,0,0,380,8,5700
761,0,1,380,40,5700
762,0,0,381,8,5715
763,0,1,381,40,5715
764,0,0,382,8,5730
765,0,1,382,40,5730
766,0,0,383,8,5745
767,0,1,383,40,5745
768,0,0,384,8,5760
769,0,1,384,40,5760
770,0,0,385,8,5775
771,0,1,385,40,5775
772,0,0,386,8,5790
773,0,1,386,40,5790
774,0,0,387,8,5805
775,0,1,387,40,5805
776,0,0,388,8,5820
777,0,1,388,40,5820
778,0,0,389,8,5835
779,0,1,389,40,5835
780,0,0,390,8,5850
781,0,1,390,40,5850
782,0,0,391,8,5865
783,0,1,391,40,5865
784,0,0,392,8,5880
785,0,1,392,40,5880
786,0,0,393,8,5895
787,0,1,393,40,5895
788,0,0,394,8,5910
789,0,1,394,40,5910
790,0,0,395,8,5925
791,0,1,395,40,5925
792,0,0,396,8,5940
793,0,1,396,40,5940
794,0,0,397,8,5955
795,0,1,397,40,5955
796,0,0,398,8,5970
797,0,1,398,40,5970
798,0,0,399,8,5985
799,0,1,399,40,5985
800,0,0,400,8,6000
801,0,1,400,40,6000
802,0,0,401,8,6015
803,0,1,401,40,6015
804,0,0,402,8,6030
805,0,1,402,40,6030
806,0,0,403,8,6045
807,0,1,403,40,6045
808,0,0,404,8,6060
809,0,1,404,40,6060
810,0,0,405,8,6075
811,0,1,405,40,6075
812,0,0,406,8,6090
813,0,1,406,40,6090
814,0,0,407,8,6105
815,0,1,407,40,6105
816,0,0,408,8,6120
817,0,1,408,40,6120
818,0,0,409,8,6135
819,0,1,409,40,6135
820,0,0,410,8,6150
821,0,1,410,40,6150
822,0,0,411,8,6165
823,0,1,411,40,6165
824,0,0,412,8,6180
825,0,1,412,40,6180
826,0,0,413,8,6195
827,0,1,413,40,6195
828,0,0,414,8,6210
829,0,1,414,40,6210
830,0,0,415,8,6225
831,0,1,415,40,6225
832,0,0,416,8,6240
833,0,1,416,40,6240
834,0,0,417,8,6255
835,0,1,417,40,6255
836,0,0,418,8,6270
837,0,1,418,40,6270
838,0,0,419,8,6285
839,0,1,419,40,6285
840,0,0,420,8,6300
841,0,1,420,40,6300
842,0,0,421,8,6315
843,0,1,421,40,6315
844,0,0,422,8,6330
845,0,1,422,40,6330
846,0,0,423,8,6345
847,0,1,423,40,6345
848,0,0,424,8,6360
849,0,1,424,40,6360
850,0,0,425,8,6375
851,0,1,425,40,6375
852,0,0,426,8,6390
853,0,1,426,40,6390
854,0,0,427,8,6405
855,0,1,427,40,6405
856,0,0,428,8,6420
857,0,1,428,40,6420
858,0,0,429,8,6435
859,0,1,429,40,6435
860,0,0,430,8,6450
861,0,1,430,40,6450
862,0,0,431,8,6465
863,0,1,431,40,6465
864,0,0,432,8,6480
865,0,1,432,40,6480
866,0,0,433,8,6495
867,0,1,433,40,6495
868,0,0,434,8,6510
869,0,1,434,40,6510
870,0,0,435,8,6525
871,0,1,435,40,6525
872,0,0,436,8,6540
873,0,1,436,40,6540
